Time,Acelerometer,Gyroscope,Magnetometer
00:28:14,"[-0.075684, 0.023193, 0.994873]","[0.88501, -0.12207, 0.213623]","[61.072009, 57.700139, -71.461138]"
00:28:15,"[-0.072266, 0.023926, 0.993164]","[0.88501, -0.518799, -0.030518]","[61.962271, 58.236054, -71.288942]"
00:28:16,"[-0.071777, 0.018311, 0.996582]","[1.098633, -0.213623, -0.061035]","[62.852534, 59.129245, -72.14992]"
00:28:17,"[-0.065186, 0.018311, 0.988525]","[0.854492, -0.396729, -0.12207]","[62.140324, 60.201074, -71.805529]"
00:28:18,"[-0.07373, 0.020508, 0.999268]","[0.915527, -0.335693, -0.030518]","[61.428114, 59.843798, -71.805529]"
00:28:19,"[-0.07251, 0.024658, 0.989014]","[1.12915, -0.213623, 0.0]","[62.496429, 57.342863, -72.494311]"
00:28:20,"[-0.072021, 0.02002, 0.99292]","[1.159668, -0.335693, -0.091553]","[62.318376, 57.521501, -72.322115]"
00:28:21,"[-0.072998, 0.02002, 0.992432]","[0.946045, -0.640869, 0.061035]","[61.962271, 58.950607, -73.355288]"
00:28:23,"[-0.072998, 0.020752, 0.995361]","[1.190186, -0.244141, 0.12207]","[60.715904, 58.771968, -72.14992]"
00:28:24,"[-0.074951, 0.018799, 0.99707]","[0.88501, -0.244141, -0.030518]","[61.962271, 57.878777, -73.699679]"
00:28:25,"[-0.072754, 0.020996, 0.989502]","[0.946045, -0.274658, -0.12207]","[60.181746, 58.59333, -71.633333]"
00:28:26,"[-0.070557, 0.025635, 0.991699]","[1.00708, -0.427246, -0.061035]","[61.250061, 57.878777, -71.977724]"
00:28:27,"[-0.074463, 0.023682, 0.989746]","[0.88501, -0.488281, 0.152588]","[61.784219, 57.700139, -71.805529]"
00:28:28,"[-0.073486, 0.02124, 0.994385]","[1.159668, -0.305176, 0.030518]","[61.606166, 58.950607, -72.322115]"
00:28:29,"[-0.078125, 0.024658, 0.996094]","[1.00708, -0.549316, -0.061035]","[63.030586, 57.164225, -71.633333]"
00:28:30,"[-0.071533, 0.020264, 0.995605]","[0.732422, -0.640869, 0.030518]","[62.852534, 58.414692, -71.805529]"
00:28:31,"[-0.072754, 0.020508, 0.991455]","[1.00708, -0.427246, 0.061035]","[61.784219, 58.057416, -71.805529]"
00:28:32,"[-0.077148, 0.02002, 0.994385]","[1.098633, -0.396729, 0.152588]","[62.318376, 57.878777, -71.977724]"
00:28:33,"[-0.073975, 0.023438, 0.988281]","[1.220703, -0.244141, 0.091553]","[60.715904, 58.057416, -71.461138]"
00:28:34,"[-0.071533, 0.021973, 0.99585]","[1.190186, -0.274658, 0.335693]","[62.318376, 58.59333, -71.633333]"
00:28:35,"[-0.070068, 0.016113, 0.989746]","[1.159668, -0.549316, -0.305176]","[62.496429, 58.771968, -73.527484]"
